Review Rating,Age,Gender,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Subscription Status,Payment Method,Shipping Type,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
3.1,55,Male,Blouse,53,Kentucky,L,Gray,Winter,Yes,Credit Card,Express,Express,Yes,Yes,14,Venmo,Fortnightly
3.1,19,Male,Sweater,64,Maine,L,Maroon,Winter,Yes,Bank Transfer,Express,Express,Yes,Yes,2,Cash,Fortnightly
3.1,50,Male,Jeans,73,Massachusetts,S,Maroon,Spring,Yes,Cash,Free_Shipping,Free_Shipping,Yes,Yes,23,Credit Card,Weekly
3.5,21,Male,Sandals,90,Rhode Island,M,Maroon,Spring,Yes,PayPal,Next_Day_Air,Next_Day_Air,Yes,Yes,49,PayPal,Weekly
2.7,45,Male,Blouse,49,Oregon,M,Turquoise,Spring,Yes,Cash,Free_Shipping,Free_Shipping,Yes,Yes,31,PayPal,Annually
2.9,46,Male,Sneakers,20,Wyoming,M,White,Summer,Yes,Venmo,Standard,Standard,Yes,Yes,14,Venmo,Weekly
3.2,63,Male,Shirt,85,Montana,M,Gray,Fall,Yes,Debit Card,Free_Shipping,Free_Shipping,Yes,Yes,49,Cash,Quarterly
3.2,27,Male,Shorts,34,Louisiana,L,Charcoal,Winter,Yes,Debit Card,Free_Shipping,Free_Shipping,Yes,Yes,19,Credit Card,Weekly
2.6,26,Male,Coat,97,West Virginia,L,Silver,Summer,Yes,Venmo,Express,Express,Yes,Yes,8,Venmo,Annually
4.8,57,Male,Handbag,31,Missouri,M,Pink,Spring,Yes,PayPal,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,4,Cash,Quarterly
4.1,53,Male,Shoes,34,Arkansas,L,Purple,Fall,Yes,Credit Card,Store_Pickup,Store_Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
4.9,30,Male,Shorts,68,Hawaii,S,Olive,Winter,Yes,PayPal,Store_Pickup,Store_Pickup,Yes,Yes,10,Bank Transfer,Fortnightly
4.5,61,Male,Coat,72,Delaware,M,Gold,Winter,Yes,PayPal,Express,Express,Yes,Yes,37,Venmo,Fortnightly
4.7,65,Male,Dress,51,New Hampshire,M,Violet,Spring,Yes,Debit Card,Express,Express,Yes,Yes,31,PayPal,Weekly
4.7,64,Male,Coat,53,New York,L,Teal,Winter,Yes,PayPal,Free_Shipping,Free_Shipping,Yes,Yes,34,Debit Card,Weekly
2.8,64,Male,Skirt,81,Rhode Island,M,Teal,Winter,Yes,Credit Card,Store_Pickup,Store_Pickup,Yes,Yes,8,PayPal,Monthly
4.1,25,Male,Sunglasses,36,Alabama,S,Gray,Spring,Yes,Venmo,Next_Day_Air,Next_Day_Air,Yes,Yes,44,Debit Card,Bi-Weekly
4.7,53,Male,Dress,38,Mississippi,XL,Lavender,Winter,Yes,Debit Card,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,36,Venmo,Quarterly
4.6,52,Male,Sweater,48,Montana,S,Black,Summer,Yes,Bank Transfer,Free_Shipping,Free_Shipping,Yes,Yes,17,Cash,Weekly
3.3,66,Male,Pants,90,Rhode Island,M,Green,Summer,Yes,Venmo,Standard,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
2.8,21,Male,Pants,51,Louisiana,M,Black,Winter,Yes,Credit Card,Express,Express,Yes,Yes,50,Cash,Every 3 Months
